#This blocklist helps Pi-hole's admin restrict access to Google and its domains.
#Last updated: 31-08-2020
#General Sites.
0.0.0.0 spreadsheets0.google.com
0.0.0.0 spreadsheets1.google.com
0.0.0.0 spreadsheets2.google.com
0.0.0.0 ssl.gstatic.com
0.0.0.0 steamcloud-eu-ams.storage.googleapis.com
0.0.0.0 stjp98c3hu.com
0.0.0.0 storage.googleapis.com
0.0.0.0 store.google.com
0.0.0.0 stun.l.google.com
0.0.0.0 stun1.l.google.com
0.0.0.0 su4xxf9ea6.com
0.0.0.0 suggestqueries.google.com
0.0.0.0 support.google.com
0.0.0.0 svc-1.google.com
0.0.0.0 t0wu1fqv4l.com
0.0.0.0 t6g9bjnn5i.com
0.0.0.0 tagmanager.google.com
0.0.0.0 takeout.google.com
0.0.0.0 talk.google.com
0.0.0.0 tbn0.google.com
0.0.0.0 tbn1.google.com
0.0.0.0 tbn2.google.com
0.0.0.0 tc7mup3b8h.com
0.0.0.0 teachercenter.withgoogle.com
0.0.0.0 telephonyspamprotect-pa.googleapis.com
0.0.0.0 testmysite.withgoogle.com
0.0.0.0 tezkyhazrq.com
0.0.0.0 thinkwithgoogle.com
0.0.0.0 time.google.com
0.0.0.0 time1.google.com
0.0.0.0 time2.google.com
0.0.0.0 time3.google.com
0.0.0.0 tkzzb68bgu.com
0.0.0.0 tmqds12u18.com
0.0.0.0 toolbar.google.com
0.0.0.0 toolbarqueries.google.com
0.0.0.0 topcontributor.withgoogle.com
0.0.0.0 tq970h0typ.com
0.0.0.0 tr3xa9sjlu.com
0.0.0.0 translate.googleapis.com
0.0.0.0 transparencyreport.google.com
0.0.0.0 tv576.drive.google.com
0.0.0.0 tw580pjggb.com
0.0.0.0 tyfmvkpvqj.com
0.0.0.0 type.whatever.you.like.here.followed.by.svc-1.google.com
0.0.0.0 type.whatever.you.want.here.followed.by.svc-1.google.com
0.0.0.0 u0euj4r7yi.com
0.0.0.0 u1h02vkaxo.com
0.0.0.0 u2339fuhtr.com
0.0.0.0 u2878gr17k.com
0.0.0.0 u77fpi1p6b.com
0.0.0.0 u8ei89zrix.com
0.0.0.0 ubqkpc4bz0.com
0.0.0.0 ugxi9h93ku.com
0.0.0.0 uja2pdgryf.com
0.0.0.0 ukau91x3ec.com
0.0.0.0 umu0rbenwn.com
0.0.0.0 unhtqd9m6d.com
0.0.0.0 update.googleapis.com
0.0.0.0 uqcp417ayl.com
0.0.0.0 urkkqhhehq.com
0.0.0.0 us-central1-events-d07ac.cloudfunctions.net
0.0.0.0 userresearch.google.com
0.0.0.0 uv9l56g4e9.com
0.0.0.0 uyxk2yye5z.com
0.0.0.0 uyxyuxj198.com
0.0.0.0 uyzt5nnwct.com
0.0.0.0 v5l6ubd5hd.com
0.0.0.0 v6bzzmrcbr.com
0.0.0.0 v6u8h9j9l4.com
0.0.0.0 v9ef0rd01x.com
0.0.0.0 v9ir8gv0rt.com
0.0.0.0 vhuqns1v5z.com
0.0.0.0 vijxn1nygr.com
0.0.0.0 visionkit-pa.googleapis.com
0.0.0.0 vjsiyaqjmc.com
0.0.0.0 vjsw8sr8w0.com
0.0.0.0 vm_0.google.com
0.0.0.0 vok1cbukr5.com
0.0.0.0 voledevice-pa.googleapis.com
0.0.0.0 vpnmxkwcj0.com
0.0.0.0 vr.google.com
0.0.0.0 vvo6gk1ckd.com
0.0.0.0 vy1blq1h77.com
0.0.0.0 w2u1sp7yf5.com
0.0.0.0 w6uur1tfma.com
0.0.0.0 w8kq31rrw2.com
0.0.0.0 wap.google.com
0.0.0.0 wearos.google.com
0.0.0.0 web.dev
0.0.0.0 webmaster.google.com
0.0.0.0 wgh335ezn4.com
0.0.0.0 whatever.you.like.here.followed.by.svc-1.google.com
0.0.0.0 whois.google.com
0.0.0.0 win_5_1_2600_build_0.google.com
0.0.0.0 withgoogle.com
0.0.0.0 wpgp9m68yu.com
0.0.0.0 wq4bmoaedv.com
0.0.0.0 wv1xpwzpk2.com
0.0.0.0 ww.google.com
0.0.0.0 www-google-analytics.l.google.com
0.0.0.0 www.adwords.google.com
0.0.0.0 www.agoogleaday.com
0.0.0.0 www.ampproject.org
0.0.0.0 www.appspot.com
0.0.0.0 www.autodraw.com
0.0.0.0 www.blog.google
0.0.0.0 www.chromeexperiments.com
0.0.0.0 www.deepmind.com
0.0.0.0 www.dialogflow.com
0.0.0.0 www.drive.google.com
0.0.0.0 www.flutter.io
0.0.0.0 www.froogle.google.com
0.0.0.0 www.getmdl.io
0.0.0.0 www.google.com
0.0.0.0 www.googleadservices.com
0.0.0.0 www.googleapis.com
0.0.0.0 www.googlesciencefair.com
0.0.0.0 www.googlezip.net
0.0.0.0 www.gstatic.com
0.0.0.0 www.gv.com
0.0.0.0 www.material.io
0.0.0.0 www.sketchup.com
0.0.0.0 www.thinkwithgoogle.com
0.0.0.0 www.withgoogle.com
0.0.0.0 www1.google.com
0.0.0.0 www10.google.com
0.0.0.0 x6mh5eo6jr.com
0.0.0.0 x706fc7pqy.com
0.0.0.0 x8sqkqod8h.com
0.0.0.0 x9nhw2fe66.com
0.0.0.0 xa2fzh0q6k.com
0.0.0.0 xahdac1ona.com
0.0.0.0 xakzcrznca.com
0.0.0.0 xhv2x9swj3.com
0.0.0.0 xiefqefxgd.com
0.0.0.0 xikvmefcg4.com
0.0.0.0 xk2yo7qibo.com
0.0.0.0 xlg9ftduel.com
0.0.0.0 xlndaf0p23.com
0.0.0.0 xs2b8osa8b.com
0.0.0.0 xvs3sup2ud.com
0.0.0.0 y2d3dlsfq3.com
0.0.0.0 y7idz4qv9w.com
0.0.0.0 y8azcwhjl0.com
0.0.0.0 yb5yy0qesv.com
0.0.0.0 ybg0i1gid7.com
0.0.0.0 ycnmonkwvk.com
0.0.0.0 ye76ae6sv8.com
0.0.0.0 yf2vjne4wn.com
0.0.0.0 yprlsa6i2l.com
0.0.0.0 yt5hpdttf2.com
0.0.0.0 yu118l3flj.com
0.0.0.0 yy5kinult3.com
0.0.0.0 yym8v4rmia.com
0.0.0.0 z0unwj1udo.com
0.0.0.0 z1od80z4o4.com
0.0.0.0 z2g9yjk6rj.com
0.0.0.0 z4iul7gwob.com
0.0.0.0 zacb8yflu8.com
0.0.0.0 zf7slz145d.com
0.0.0.0 zmnsoveid3.com
0.0.0.0 zpu9nbgf7i.com
0.0.0.0 zqji9wtjsh.com
0.0.0.0 zrkndnzp7k.com
0.0.0.0 zscd1uddcy.com
0.0.0.0 zwh5vlqtb4.com
0.0.0.0 zx2nndxnz8.com
0.0.0.0 zyvwtasyon.com
